name,type,website,youtube,github,twitter,nostr,platforms
402 Payment Required,creator,,https://www.youtube.com/@402PaymentRequired,,,,
88 Sats Radio,creator,,https://www.youtube.com/@88SATSradio,,,,
Adam O'Brien,creator,,https://www.youtube.com/@adamobrien_,,,,
Adam Soltys,creator,,https://www.youtube.com/@adamsoltys1,,,,
AI Invests,creator,,https://www.youtube.com/@AIInvests,,,,
Altair Technology,creator,,https://www.youtube.com/@altairtech,,,,
AnchorWatch,creator,,https://www.youtube.com/@AnchorWatchInsurance,,,,
Andrew with Laser Eyes,creator,,https://www.youtube.com/@andrew_with_laser_eyes,,,,
Area Bitcoin English,creator,,https://www.youtube.com/@areabitcoin.english,,,,
Arman the Parman,creator,,https://www.youtube.com/@parman_the,,,,
Avalon Support,creator,,https://www.youtube.com/@AvalonSupport,,,,
Avoidbit,creator,,https://www.youtube.com/@avoidbit,,,,
b.b. 2k16,creator,,https://www.youtube.com/@bb2k16,,,,
BitBagger,creator,,https://www.youtube.com/@bitbagger,,,,
BitBox,creator,,https://www.youtube.com/@bitboxswiss,,,,
Bitcoin Brandon,creator,,https://www.youtube.com/@bitcoinbrandon9995,,,,
Bitcoin Classroom,creator,,https://www.youtube.com/@BitcoinClassroom,,,,
Bitcoin Daytrader,creator,,https://www.youtube.com/@BitcoinDaytrader,,,,
Bitcoin Education,creator,,https://www.youtube.com/@vazertuche,,,,
Bitcoin Learning,creator,,https://www.youtube.com/@bitcoinlearning365,,,,
Bitcoin Magazine,creator,,https://www.youtube.com/@BitcoinMagazine,,,,
Bitcoin Not Crypto,creator,,https://www.youtube.com/@bitcoinnotcrypto,,,,
Bitcoin Quickies,creator,,https://www.youtube.com/@BitcoinQuickies,,,,
Bitcoin Takeover,creator,,https://www.youtube.com/@BitcoinTakeover,,,,
Bitcoin Unlocked,creator,,https://www.youtube.com/@BitcoinUnlocked,,,,
Bitcoiner Malaysia,creator,,https://www.youtube.com/@bitcoinermalaysia,,,,
Bithyve,creator,,https://www.youtube.com/@bithyve3330,,,,
BITSOLOPLAYER Official,creator,,https://www.youtube.com/@BITSOLOPLAYER,,,,
BLKBoX Trading,creator,,https://www.youtube.com/@blkboxtrading,,,,
Blockchain Academics,creator,,https://www.youtube.com/@BlockchainAcademics,,,,
blockdyor,creator,,https://www.youtube.com/@blockdyor,,,,
Blockstream,creator,,https://www.youtube.com/@Blockstream,,,,
BTC Sessions,creator,,https://www.youtube.com/@BTCSessions,,,,
BTCPay Server,creator,,https://www.youtube.com/@BTCPayServer,,,,
Bull Bitcoin,creator,,https://www.youtube.com/@bullbitcoin9312,,,,
Cake Wallet,creator,,https://www.youtube.com/@cakewalletapp,,,,
Canadian Bitcoiners,creator,,https://www.youtube.com/@CanadianBitcoiners,,,,
Chris Bagnell,creator,,https://www.youtube.com/@chrisbagnell,,,,
Coinkite,creator,,https://www.youtube.com/@CoinkiteInc,,,,
Corner Culture,creator,,https://www.youtube.com/@CornerCulture821,,,,
crrdlx,creator,,https://www.youtube.com/@LeonsBBQ,,,,
Crypto Blick,creator,,https://www.youtube.com/@CryptoBlick,,,,
Crypto Bull,creator,,https://www.youtube.com/@cryptobulltv,,,,
Crypto Friday,creator,,https://www.youtube.com/@cryptofriday,,,,
Crypto Guide,creator,,https://www.youtube.com/@CryptoGuide,,,,
Crypto Moose,creator,,https://www.youtube.com/@cryptomoose,,,,
CryptoJar,creator,,https://www.youtube.com/@CryptoJar,,,,
CuriousInventor,creator,,https://www.youtube.com/@CuriousInventor,,,,
DaireBTC,creator,,https://www.youtube.com/@DaireBTC0,,,,
Darren Honeysett,creator,,https://www.youtube.com/@dhoneysett,,,,
Davani,creator,,https://www.youtube.com/@keydavani,,,,
Elestio,creator,,https://www.youtube.com/@elestio,,,,
Explore Crypto,creator,,https://www.youtube.com/@ExploreCrypto,,,,
Foundation,creator,,https://www.youtube.com/@foundationdevices,,,,
Frostsnap,creator,,https://www.youtube.com/@FrostsnapTech,,,,
GetBittr,creator,,https://www.youtube.com/@getbittr,,,,
Ginger Wallet,creator,,https://www.youtube.com/@ginger.wallet,,,,
Guy Swann,creator,,https://www.youtube.com/@theguyswann,,,,
Hardcore Bitcoiner,creator,,https://www.youtube.com/@hardcorebitcoiner1461,,,,
Ian Major,creator,,https://www.youtube.com/@IanMajor,,,,
IMineBlocks,creator,,https://www.youtube.com/@IMineBlocks,,,,
JBINZALA,creator,,https://www.youtube.com/@JBINZALA,,,,
Jonathan Levi,creator,,https://www.youtube.com/@Bitcoinftm,,,,
justh0dl,creator,,.https://www.youtube.com/@justh0dl,,,,
Kahoobb,creator,,https://www.youtube.com/@Kahoobb,,,,
KeepKey,creator,,https://www.youtube.com/@keepkey6256,,,,
Kevin Mulcrone,creator,,https://www.youtube.com/@KayBeSee,,,,
KF Chan,creator,,https://www.youtube.com/@KFChan,,,,
L33T GUY,creator,,https://www.youtube.com/@L33TGUY,,,,
Laine,creator,,https://www.youtube.com/@LaineGaming,,,,
Ledn,creator,,https://www.youtube.com/@LednInc,,,,
Liana Wallet,creator,,https://www.youtube.com/@lianabitcoin,,,,
Lightning Labs,creator,,https://www.youtube.com/@LightningLabs,,,,
lnbits,creator,,https://www.youtube.com/@lnbits,,,,
Luke's Tech,creator,,https://www.youtube.com/@Lukes-Tech,,,,
Ministry of Nodes,creator,,https://www.youtube.com/@MinistryofNodes,,,,
Money Reimagined,creator,,https://www.youtube.com/@moneyreimagined,,,,
MoneyZG,creator,,https://www.youtube.com/@MoneyZG,,,,
MyNode,creator,,https://www.youtube.com/@mynode,,,,
Natalie Brunell,creator,,https://www.youtube.com/@nataliebrunell,,,,
Nico Moran,creator,,https://www.youtube.com/@BITVOLT,,,,
Ocean,creator,,https://www.youtube.com/@ocean_mining,,,,
Paul Lamb,creator,,https://www.youtube.com/@paullamb1100,,,,
Peach,creator,,https://www.youtube.com/@peachbitcoin,,,,
PieCover BTC,creator,,https://www.youtube.com/@piecover,,,,
Pioneering Freedom,creator,,https://www.youtube.com/@PioneeringFreedom,,,,
Plan B Network,creator,,https://www.youtube.com/@PlanBNetwork,,,,
Rabid Mining,creator,,https://www.youtube.com/@RabidMining,,,,
Red Panda Mining,creator,,https://www.youtube.com/@RedPandaMining,,,,
Rhett Reisman,creator,,https://www.youtube.com/@RhettReisman,,,,
Robotechy,creator,,https://www.youtube.com/@Robotechy202,,,,
RoninDojo,creator,,https://www.youtube.com/@ronindojo8725,,,,
Ryan Matta,creator,,https://www.youtube.com/@RyanMatta,,,,
Ryan Scribner,creator,,https://www.youtube.com/@RyanScribner,,,,
SaniExp,creator,,https://www.youtube.com/@SaniExp,,,,
Satashi21,creator,,https://www.youtube.com/@satashi21m,,,,
Satoshi Radio Global,creator,,https://www.youtube.com/@SatoshiRadioGlobal,,,,
SeedSigner,creator,,https://www.youtube.com/@seedsigner5695,,,,
Southern Bitcoiner,creator,,https://www.youtube.com/@SouthernBitcoiner,,,,
Sovereign Money,creator,,https://www.youtube.com/@SVRNMoney,,,,
Specter,creator,,https://www.youtube.com/@SpecterWallet,,,,
TanleyBench,creator,,https://www.youtube.com/@tanleybench,,,,
Tech Express,creator,,https://www.youtube.com/@tech.express,,,,
TFTC,creator,,https://www.youtube.com/@TFTC,,,,
The Bitcoin Hardware Store,creator,,https://www.youtube.com/@TBHS_SV,,,,
The CryptoDad,creator,,https://www.youtube.com/@CryptoDad,,,,
The Hobbyist Miner,creator,,https://www.youtube.com/@TheHobbyistMiner,,,,
The Social Guide,creator,,https://www.youtube.com/@thesocialguide7659,,,,
The Space,creator,,https://www.youtube.com/@SpaceDenver,,,,
theBTCcourse,creator,,https://www.youtube.com/@thebtccourse,,,,
Theya,creator,,https://www.youtube.com/@theya-bitcoin,,,,
TJ Free,creator,,https://www.youtube.com/@TJFREE,,,,
Trezor,creator,,https://www.youtube.com/@TrezorWallet,,,,
Unchained,creator,,https://www.youtube.com/@unchainedbtc,,,,
Understanding Bitcoin,creator,,https://www.youtube.com/@understandingbit,,,,
Vasker Media,creator,,https://www.youtube.com/@vaskermedia,,,,
Voltage,creator,,https://www.youtube.com/@voltage_cloud,,,,
Vortex Bitcoin,creator,,https://www.youtube.com/@VortexBitcoin,,,,
VoskCoin,creator,,https://www.youtube.com/@VoskCoin,,,,
Wandering Maverick,creator,,https://www.youtube.com/@TheWanderingMavericks,,,,
WantClue,creator,,https://www.youtube.com/@WantClue,,,,
Wasabi Wallet,creator,,https://www.youtube.com/@WasabiWallet,,,,
Wicked Smart Bitcoin,creator,,https://www.youtube.com/@wickedsmartbitcoin,,,,
Wizardsardine,creator,,https://www.youtube.com/@wizardsardine,,,,
Yeti Bitcoin Wallet,creator,,https://www.youtube.com/@yetibitcoinwallet9959,,,,
BitBox,tag,https://bitbox.swiss/,,https://github.com/BitBoxSwiss,https://x.com/BitBoxSwiss,https://primal.net/p/nprofile1qqs9500z3l7sn46sdnls5fnjm0d3lqmrq7707qshes2y7j8pnm4rllcfc0kcc,
Bitkey,tag,https://bitkey.world/,,https://github.com/proto-at-block/bitkey,https://x.com/Bitkeyofficial,https://primal.net/p/nprofile1qqs9mvjd9uym8ey4w5vevlrxqfesm666cm6su27svcwqfvj8ztvhlgs0ejj6h,
ColdCard MK(1-4),tag,https://coldcard.com/mk4,,https://github.com/Coldcard/firmware,https://x.com/ColdcardWallet,https://primal.net/p/nprofile1qqszuwesacyzt8wda6c7rdshl6gv3e7kxf35nld77z7arfeyndweftc5k6qk3,
ColdCard Q,tag,https://coldcard.com/q,,https://github.com/Coldcard/firmware,https://x.com/ColdcardWallet,https://primal.net/p/nprofile1qqszuwesacyzt8wda6c7rdshl6gv3e7kxf35nld77z7arfeyndweftc5k6qk3,
Frostsnap,tag,https://frostsnap.com/,,https://github.com/frostsnap/frostsnap,https://x.com/FrostsnapTech,https://primal.net/p/nprofile1qqsy3hc9jy28npuqzmc908td6cmx6dtaf36llel2adch6kynwksywecl78fv9,
Jade,tag,https://blockstream.com/jade/,,https://github.com/Blockstream/jade/,https://x.com/BlockstreamJade,https://primal.net/Blockstream,
Jade Plus,tag,https://blockstream.com/jade/,,https://github.com/Blockstream/jade/,https://x.com/BlockstreamJade,https://primal.net/Blockstream,
KeepKey,tag,https://www.keepkey.com/,,https://github.com/keepkey/keepkey-firmware,https://x.com/cryptokeepkey,,
KeyFlint,tag,https://bitconserve.com/keyflint/,,https://github.com/aaronwu2017/KeyFlint,,,
Keystone,tag,https://keyst.one/,,https://github.com/KeystoneHQ/keystone3-firmware,https://x.com/KeystoneWallet,,
Krux,tag,https://selfcustody.github.io/krux/,,https://github.com/selfcustody/krux,https://x.com/selfcustodykrux,,
Ledger Flex,tag,https://www.ledger.com/,,https://github.com/LedgerHQ,https://x.com/Ledger,,
Ledger Nano(S/X),tag,https://www.ledger.com/,,https://github.com/LedgerHQ,https://x.com/Ledger,,
OneKey,tag,https://onekey.so/,,https://github.com/OneKeyHQ/firmware,https://x.com/OneKeyHQ,,
Opendime,tag,https://opendime.com/,,https://github.com/opendime/opendime,https://x.com/OPENDIME,https://primal.net/coinkite,
Passport Core,tag,https://foundation.xyz/passport-core/,,https://github.com/Foundation-Devices/passport2,https://x.com/FOUNDATIONdvcs,primal.net/p/nprofile1qqsg8k9myvegcelvu2klzvrdh9lr7qnms57chkhjymgpcts09n4dutstm4lkn,
Satochip,tag,https://satochip.io/,,https://github.com/Toporin/SatoChipApplet,https://x.com/satochip,,
Satodime,tag,https://satochip.io/product/satodime/,,https://github.com/Toporin/Satodime-Tool/tree/v0.2.1,https://x.com/Satochip,,
Satscard,tag,https://satscard.com/,,https://github.com/coinkite/coinkite-tap-proto,https://x.com/SATSCARD,https://primal.net/coinkite,
SeedSigner,tag,https://seedsigner.com/,,https://github.com/SeedSigner/seedsigner,https://x.com/SeedSigner,https://primal.net/p/nprofile1qqs09jtvjlmyrxjn37zv70a89csegcz7rpyqjmnw29cveedhv7vagqqdpq7p2,
Seedkeeper,tag,https://seedkeeper.io/,,https://github.com/Toporin/Seedkeeper-Applet,https://x.com/satochip,,
Specter DIY,tag,https://specter.solutions/build-guide,,https://github.com/cryptoadvance/specter-diy,https://x.com/SpecterDIY,https://primal.net/p/nprofile1qqsf8kak669ntprk2kuuw64chdyyvlps0kun4u09k8z89ns8af6vssqm9kca0,
Tapsigner,tag,https://tapsigner.com/,,https://github.com/coinkite/coinkite-tap-proto,https://x.com/TAPSIGNER,primal.net/coinkite,
Trezor One,tag,https://trezor.io/trezor-model-one,,https://github.com/trezor/trezor-firmware,https://x.com/Trezor,,
Trezor Safe(3/5),tag,https://trezor.io/,,https://github.com/trezor/trezor-firmware,https://x.com/Trezor,,
Trezor T,tag,https://trezor.io/trezor-safe-5,,https://github.com/trezor/trezor-firmware,https://x.com/Trezor,,
Aqua,tag,https://aquawallet.io/,,https://github.com/AquaWallet/aqua-wallet,https://x.com/AquaBitcoin,https://primal.net/p/nprofile1qqswe03hyye2jv3msylwkj8cml8d4m9qpc5g0tccrvrrcm86z0kcagg0zjv3w,"iphone,android"
Ashigaru,tag,https://ashigaruwallet.app/,,,https://x.com/Ashigaruwallets,,android
Bitcoin Core Wallet,tag,https://bitcoincore.org/,,https://github.com/bitcoin/bitcoin/,https://x.com/bitcoincoreorg,,"mac,windows,linux"
Bitcoin Keeper,tag,https://bitcoinkeeper.app/,,https://github.com/bithyve/bitcoin-keeper,https://x.com/bitcoinKeeper_,,"mac,windows,linux,iphone,android"
Blitz,tag,https://blitzwalletapp.com/,,https://github.com/BlitzWallet/BlitzWallet,https://x.com/BlitzWalletApp,https://primal.net/p/nprofile1qqsvdc3s5f0260zfwqfkx7lnw77wmqw8ekmqmzq6v0kmzw9s32ngpqcfwuxkg,"iphone,android"
Blixt,tag,https://blixtwallet.github.io/,,https://github.com/hsjoberg/blixt-wallet,https://x.com/BlixtWallet,,"iphone,android"
Blockstream App,tag,https://blockstream.com/app/,,https://github.com/Blockstream/green_android,https://x.com/BlockstreamApp,https://primal.net/Blockstream,"mac,windows,linux,iphone,android"
BlueWallet,tag,https://bluewallet.io/,,https://github.com/BlueWallet/BlueWallet,https://x.com/bluewalletio,,"mac,iphone,android"
Breez,tag,https://breez.technology/,,https://github.com/breez,https://x.com/Breez_Tech,https://primal.net/p/nprofile1qqsfwyw34w5qdgazshlnap73wkgzcte9qaqcvrvuvkgrez67scltmqglmz585,"iphone,android"
Cake,tag,https://cakewallet.com/,,https://github.com/cake-tech/cake_wallet,https://x.com/cakewallet,https://primal.net/p/nprofile1qqs0cpan3knpzta7dn2wpyas2l976yyxjfc9rqt88uedt4qw4h4dfkguz7t4v,"mac,windows,linux,iphone,android"
Cashu.me,tag,https://wallet.cashu.me/welcome,,https://github.com/cashubtc/cashu.me,https://x.com/CashuBTC,,
